,user_id,name,name_
0,48084634,XXXTENTACION,b'XXXTENTACION'
1,10494998,LIL UZI VERT,b'LIL UZI VERT'
2,99685284,Post Malone,b'Post Malone'
3,505203,ETHEREAL,b'ETHEREAL'
4,3932070,Panic! At The Disco,b'Panic! At The Disco'
5,250567331,Lil Yatchy ⛵️,b'Lil Yatchy '
6,1377057,Interscope Records,b'Interscope Records'
9,180986905,Brain Bakery Mag,b'Brain Bakery Mag'
12,67377000,SKI MASK THE SLUMP GOD,b'SKI MASK THE SLUMP GOD'
13,1856723,Fitz and The Tantrums,b'Fitz and The Tantrums'
15,12891691,smokepurpp,b'smokepurpp'
16,29341932,Mackned,b'Mackned'
18,67962887,Rich The Kid,b'Rich The Kid'
19,2406814,UnoTheActivist,b'UnoTheActivist'
21,266075,HORSE HEAD,b'HORSE HEAD'
24,22054085,JorGeHL',"b""JorGeHL'"""
25,105574991,Dj MontanaRare,b'Dj MontanaRare'
27,225793518,juxta / Atom Collector,b'juxta / Atom Collector'
28,114960460,Matthew Wilson 154,b'Matthew Wilson 154'
30,14610102,yunggoth✰,b'yunggoth'
33,178913424,Stitches,b'Stitches'
34,45843856,Nurma,b'Nurma'
38,233919827,Blurry Pilots,b'Blurry Pilots'
39,59788019,Soaring Radio,b'Soaring Radio'
40,7761734,JohnZoe,b'JohnZoe'
41,4263813,BURGER RECORDS,b'BURGER RECORDS'
42,91517026,win32,b'win32'
43,226517465,Fall Out Boy,b'Fall Out Boy'
44,70904209,nickapiss,b'nickapiss'
45,1072199,FearlessRecords,b'FearlessRecords'
47,75403832,Scorpionium,b'Scorpionium'
48,182689078,GOTHBOICLIQUE,b'GOTHBOICLIQUE'
49,149230786,addivt,b'addivt'
50,4781093,Fueled By Ramen,b'Fueled By Ramen'
51,78592473,Juninho Souza,b'Juninho Souza'
57,20405927,KEY!,b'KEY!'
58,922374,Epitaph Records,b'Epitaph Records'
59,1222764,Hopeless Records,b'Hopeless Records'
60,24019310,Lederrick,b'Lederrick'
61,1577559,There For Tomorrow,b'There For Tomorrow'
64,12001688,copyc4t,b'copyc4t'
65,12579731,TeraBrite,b'TeraBrite'
66,8813564,th3hunter,b'th3hunter'
67,121588493,Karma Rhythm,b'Karma Rhythm'
69,8057582,The Black Keys,b'The Black Keys'
70,10300858,▲ KAY P | YUNG SHIVA ▽ 神,b' KAY P | YUNG SHIVA  '
71,108905767,Samar Elsayed,b'Samar Elsayed'
72,79389165,lil pony aka lil bronco,b'lil pony aka lil bronco'
73,453920,WarnerBrosRecords,b'WarnerBrosRecords'
76,171693701,Danny Towers,b'Danny Towers'
77,106902584,Trippie Redd,b'Trippie Redd\x7f'
79,212616144,mariopartier123,b'mariopartier123'
80,41298739,OG Maco,b'OG Maco'
82,11474351,BRENNAN SAVAGE,b'BRENNAN SAVAGE'
83,9679046,Igor Carvalho,b'Igor Carvalho'
86,1283946,HappyHourband,b'HappyHourband'
88,17482957,Jared Kotler,b'Jared Kotler'
89,183700132,INDIE INDONESIA,b'INDIE INDONESIA'
92,204341,BURNS,b'BURNS'
93,31327168,@ryanstaysaucy,b'@ryanstaysaucy'
95,41208298,Monsterjj,b'Monsterjj'
96,4765678,aramis-schultz,b'aramis-schultz'
98,213981982,Pedro Chavez,b'Pedro Chavez'
99,788205,KAYTRANADA,b'KAYTRANADA'
100,48138556,Hipst3r,b'Hipst3r'
102,1433035,Hippie Sabotage,b'Hippie Sabotage'
103,82755540,Smooth Music  We Need,b'Smooth Music  We Need'
104,8553751,Monstercat,b'Monstercat'
105,78276678,Wonderlust,b'Wonderlust'
106,25343050,NoMBe,b'NoMBe'
107,150774631,Your Secret,b'Your Secret'
108,42371429,Aktaridon,b'Aktaridon'
109,114527679,Axl,b'Axl'
110,3399796,MrSuicideSheep,b'MrSuicideSheep'
112,92098484,Jackrichardson 00,b'Jackrichardson 00'
113,131353465,HIGH ON MUSIC,b'HIGH ON MUSIC'
114,51945440,SyrebralVibes,b'SyrebralVibes'
115,22153023,UniversityHype.com,b'UniversityHype.com'
116,152355181,ROOKIES,b'ROOKIES'
117,61189209,Cucoriedka,b'Cucoriedka'
118,140402822,Record Record,b'Record Record'
119,74594593,chinchilla,b'chinchilla'
120,16408184,Kidswaste,b'Kidswaste'
121,101994252,The XXX,b'The XXX'
123,33814476,oshi,b'oshi'
124,141989084,Beauvois,b'Beauvois'
126,2506938,Faraji Farmer,b'Faraji Farmer'
127,2852068,Sonny Alven,b'Sonny Alven'
131,90149759,Lost Kings,b'Lost Kings'
132,186664645,K!efer,b'K!efer'
135,4360546,Kygo,b'Kygo'
137,22854611,Shruee Liana,b'Shruee Liana'
138,68749546,JFerris,b'JFerris'
139,3604146,NOVA,b'NOVA'
142,91742964,ICYTWAT,b'ICYTWAT'
143,94475436,Ivory Oasis,b'Ivory Oasis'
144,21268086,FlicFlac,b'FlicFlac'
145,18977495,V E S T I G E,b'V E S T I G E'
146,196904080,Neekan Doaiy,b'Neekan Doaiy'
148,9766050,relaxdaily,b'relaxdaily'
149,103470313,LAKEY INSPIRED,b'LAKEY INSPIRED'
150,153073241,LOSI,b'LOSI'
151,58852567,kevinwallace14,b'kevinwallace14'
154,24980742,brothel.,b'brothel.'
155,445063,Thissongissick.com,b'Thissongissick.com'
157,66374689,Relax-Meditation Music :),b'Relax-Meditation Music :)'
158,2780678,Ehrling,b'Ehrling'
159,49491120,Tauqeer Ahmad Waheedi,b'Tauqeer Ahmad Waheedi'
160,51620102,vermilioneyed,b'vermilioneyed'
166,910789,Lost Stories Music,b'Lost Stories Music'
167,105210601,Kaitò-ó Con Botas,b'Kait- Con Botas'
169,55904159,SIAN AREA,b'SIAN AREA'
170,4634,Kompakt,b'Kompakt'
173,171928293,Zeds Dead Mixes,b'Zeds Dead Mixes'
174,160122413,slushii,b'slushii'
175,197768664,SHVRDZ,b'SHVRDZ'
178,10936880,Brenni Booth',"b""Brenni Booth'"""
181,90530754,Sean T. Phan,b'Sean T. Phan'
182,4842186,Tora,b'Tora'
183,179628227,los sandrales,b'los sandrales'
185,33535552,Emprise Music,b'Emprise Music'
186,22996155,Celadon City,b'Celadon City'
188,29237449,fraggtracks,b'fraggtracks'
192,61743682,BLVCK,b'BLVCK'
193,128046106,OTODAYO Sūpa,b'OTODAYO Spa'
195,48533359,Thedragonblade1,b'Thedragonblade1'
196,239374516,Ghost EW,b'Ghost EW'
197,608044,Hivern Discs,b'Hivern Discs'
198,196374075,mattb2,b'mattb2'
199,104500660,CokeStudio,b'CokeStudio'
201,119905839,madeintyo,b'madeintyo'
203,23706060,TCM Underground Official,b'TCM Underground Official'
205,224658016,OnOffJD,b'OnOffJD'
206,62912516,VILLAIN,b'VILLAIN'
208,213556446,StreetzHottestMusic,b'StreetzHottestMusic'
209,102203572,Umer_Yousuf_Chaudhary_30,b'Umer_Yousuf_Chaudhary_30'
210,17692853,Ahmed Gado,b'Ahmed Gado'
211,92353490,Rida♡,b'Rida'
212,29645887,Hasnain,b'Hasnain'
214,140186,chad lawson,b'chad lawson'
215,228554497,Ibrahim Minsh,b'Ibrahim Minsh'
216,5993221,LUCKI,b'LUCKI'
217,114508977,Asad Khan,b'Asad Khan'
